name;duration(ms);pkg(µj);dram(µj);temp(C)
Append_a_record_to_the_end_of_a_text_file_0;4.245;202941;2625;51.5
Delete_a_file_0;5.761;168152;2686;51
Attractive_numbers_0;2.854;94910;2075;45
Chinese_remainder_theorem_0;3.071;70679;1220;49
URL_parser_0;3.545;100769;1037;49.5
Multisplit_0;3.215;68420;977;50
Convert_seconds_to_compound_duration_0;2.501;66711;611;49
Base64_encode_data_0;108.110;2335870;54992;45
De_Bruijn_sequences_0;5.979;173644;2503;51.5
Phrase_reversals_0;4.394;98938;1465;52
Convert_decimal_number_to_rational_0;2.877;34424;549;49
Array_concatenation_0;2.338;33142;0;48.5
Data_Encryption_Standard_0;11.002;317382;5554;49
Hailstone_sequence_1;23.536;758665;12207;47.5
Zeckendorf_number_representation_0;4.273;102783;1526;45.5
Character_codes_0;2.230;31921;488;49.5
Bell_numbers_0;3.375;65552;1099;52
